Topic,Question,Option A,Option B,Option C,Option D,Correct Answer,Explanation
AI & ML,[AIML-Q122] Which algorithm is used for classification?,Decision Tree,PCA,Apriori,K-Means,A,Decision Trees classify data.
AI & ML,[AIML-Q123] Supervised learning requires,Unlabeled data,Random data,No data,Labeled data,D,Supervised learning uses labeled training data.
AI & ML,[AIML-Q124] What is overfitting?,Model generalizes well,Option not applicable,Model fits training too well,Model underfits,C,Overfitting memorizes training data.
AI & ML,[AIML-Q125] Activation function in neural networks,SQL,ReLU,HTTP,GPIO,B,ReLU is a common activation function.
AI & ML,[AIML-Q126] What is gradient descent?,Clustering method,Classification technique,Feature extraction,Optimization algorithm,D,Gradient descent minimizes loss functions.
AI & ML,[AIML-Q127] CNN stands for,Conditional Neural Network,Central Neural Network,Convolutional Neural Network,Computational Neural Network,C,Standard definition.
AI & ML,[AIML-Q128] K-Means is used for,Classification,Regression,Clustering,Dimensionality reduction,C,K-Means groups data into k clusters.
AI & ML,[AIML-Q129] What is NLP?,Numerical Learning Process,Natural Language Processing,Neural Language Programming,Insufficient information,B,NLP processes human language.
AI & ML,[AIML-Q130] Precision = TP / (TP + ?),TN,FN,Cannot be determined,FP,D,Precision = TP/(TP+FP).
AI & ML,[AIML-Q131] Recall = TP / (TP + ?),FN,TN,Cannot be determined,FP,A,Recall = TP/(TP+FN).
AI & ML,[AIML-Q132] What is a perceptron?,Clustering algo,Simplest neural network,Cannot be determined,Decision tree,B,Perceptron is a single-layer neural network.
AI & ML,[AIML-Q133] Random Forest is an ensemble of,Neural Networks,Regressions,Decision Trees,SVMs,C,Random Forest combines many decision trees.
AI & ML,[AIML-Q134] What is transfer learning?,Supervised learning,The above is incorrect,Training from scratch,Reusing pretrained model,D,Transfer learning applies pretrained knowledge.
AI & ML,[AIML-Q135] Backpropagation is used to,Update weights,Load data,Initialize weights,None of the above,A,Backprop computes gradients to update weights.
AI & ML,[AIML-Q136] Which library is used for deep learning in Python?,Matplotlib,Pandas,NumPy,TensorFlow,D,TensorFlow is a deep learning framework.
AI & ML,[AIML-Q137] What is a loss function?,Activation function,The above is incorrect,Measures model error,Optimizer,C,Loss function quantifies prediction error.
AI & ML,[AIML-Q138] SVM stands for,Simple Vector Model,Option not applicable,Supervised Vector Method,Support Vector Machine,D,Standard definition.
AI & ML,[AIML-Q139] What is dimensionality reduction?,Adding features,Reducing feature count,Neither A nor B,Scaling data,B,Reduces number of features while retaining info.
AI & ML,[AIML-Q140] PCA stands for,Both B and C,Principal Classification Approach,Principal Component Analysis,Primary Clustering Algorithm,C,Standard definition.
AI & ML,[AIML-Q141] What is a hyperparameter?,Param set before training,Bias,Weight,Learned param,A,Hyperparameters are configured before training.
AI & ML,[AIML-Q142] Cross-validation purpose,Speed up training,Reduce features,Both B and C,Evaluate model generalization,D,CV tests model on unseen data splits.
AI & ML,[AIML-Q143] Epoch in deep learning means,Option not applicable,One weight update,One full pass over dataset,One batch,C,An epoch is one complete training cycle.
AI & ML,[AIML-Q144] What is a confusion matrix?,Neither A nor B,Performance table TP/FP/TN/FN,Accuracy metric,Loss function,B,Confusion matrix shows classification results.
AI & ML,[AIML-Q145] Sigmoid function output range,0 to ∞,−1 to 1,−∞ to ∞,0 to 1,D,Sigmoid squashes values between 0 and 1.
AI & ML,[AIML-Q146] What is tokenization in NLP?,Encoding passwords,Option not applicable,Splitting text into tokens,Encrypting text,C,Tokenization breaks text into words/subwords.
AI & ML,[AIML-Q147] GAN stands for,Cannot be determined,General Adversarial Network,Generic Algorithm Network,Generative Adversarial Network,D,Standard definition.
AI & ML,[AIML-Q148] Dropout in neural networks,Both B and C,Speeds up training,Prevents overfitting,Reduces layers,C,Dropout randomly disables neurons during training.
AI & ML,[AIML-Q149] What is a feature in ML?,Model weight,All of the above,Output label,Input variable,D,Features are input variables used by a model.
AI & ML,[AIML-Q150] Regression predicts,Discrete labels,Clusters,Cannot be determined,Continuous values,D,Regression outputs continuous numerical values.
AI & ML,[AIML-Q151] What is bias in ML?,Data not provided,Model weight,Error from assumptions,Activation value,C,Bias is systematic error from wrong assumptions.
AI & ML,[AIML-Q152] LSTM stands for,Large Scale Training Method,Neither A nor B,Linear Sequential Training Model,Long Short-Term Memory,D,Standard definition.
AI & ML,[AIML-Q153] What is an embedding?,Image filter,Sparse matrix,Insufficient information,Dense vector representation,D,Embeddings map items to dense vector space.
AI & ML,[AIML-Q154] Softmax function is used for,Multi-class classification,Regression,Binary classification,Neither A nor B,A,Softmax outputs probability distribution over classes.
AI & ML,[AIML-Q155] What is data augmentation?,Removing data,Generating synthetic training data,The above is incorrect,Normalizing data,B,Augmentation artificially increases training data.
AI & ML,[AIML-Q156] Bagging reduces,Both,Bias,Neither,Variance,D,Bagging reduces variance by averaging models.
AI & ML,[AIML-Q157] What is a kernel in SVM?,Neuron,Function to map data,Layer,Both A and B,B,Kernels transform data to higher dimensions.
AI & ML,[AIML-Q158] ROC curve plots,TPR vs FPR,Precision vs Recall,Insufficient information,Loss vs Epoch,A,ROC curve shows classifier performance at thresholds.
AI & ML,[AIML-Q159] What is reinforcement learning?,The above is incorrect,Clustering,Supervised learning,Agent learns via rewards,D,RL agents learn by maximizing cumulative reward.
AI & ML,[AIML-Q160] Batch size in training means,Number of epochs,Samples per gradient update,None of the above,Total samples,B,Batch size controls how many samples per step.
AI & ML,[AIML-Q161] What does AI stand for?,Automated Intelligence,Artificial Integration,Applied Intelligence,Artificial Intelligence,D,Standard definition.
AI & ML,[AIML-Q162] Which algorithm is used for classification?,Decision Tree,Apriori,K-Means,PCA,A,Decision Trees classify data.
AI & ML,[AIML-Q163] Supervised learning requires,Unlabeled data,Labeled data,Random data,No data,B,Supervised learning uses labeled training data.
AI & ML,[AIML-Q164] What is overfitting?,Model underfits,Model generalizes well,Model fits training too well,Data not provided,C,Overfitting memorizes training data.
AI & ML,[AIML-Q165] Activation function in neural networks,GPIO,HTTP,SQL,ReLU,D,ReLU is a common activation function.
AI & ML,[AIML-Q166] What is gradient descent?,Feature extraction,Classification technique,Clustering method,Optimization algorithm,D,Gradient descent minimizes loss functions.
AI & ML,[AIML-Q167] CNN stands for,Conditional Neural Network,Computational Neural Network,Convolutional Neural Network,Central Neural Network,C,Standard definition.
AI & ML,[AIML-Q168] K-Means is used for,Regression,Dimensionality reduction,Classification,Clustering,D,K-Means groups data into k clusters.
AI & ML,[AIML-Q169] What is NLP?,Neural Language Programming,None of the above,Natural Language Processing,Numerical Learning Process,C,NLP processes human language.
AI & ML,[AIML-Q170] Precision = TP / (TP + ?),TN,FP,Both A and B,FN,B,Precision = TP/(TP+FP).
AI & ML,[AIML-Q171] Recall = TP / (TP + ?),Cannot be determined,TN,FN,FP,C,Recall = TP/(TP+FN).
AI & ML,[AIML-Q172] What is a perceptron?,Simplest neural network,Clustering algo,Both A and B,Decision tree,A,Perceptron is a single-layer neural network.
AI & ML,[AIML-Q173] Random Forest is an ensemble of,Decision Trees,Regressions,SVMs,Neural Networks,A,Random Forest combines many decision trees.
AI & ML,[AIML-Q174] What is transfer learning?,The above is incorrect,Training from scratch,Reusing pretrained model,Supervised learning,C,Transfer learning applies pretrained knowledge.
AI & ML,[AIML-Q175] Backpropagation is used to,Load data,Both A and B,Initialize weights,Update weights,D,Backprop computes gradients to update weights.
AI & ML,[AIML-Q176] Which library is used for deep learning in Python?,Pandas,TensorFlow,Matplotlib,NumPy,B,TensorFlow is a deep learning framework.
AI & ML,[AIML-Q177] What is a loss function?,Optimizer,None of the above,Activation function,Measures model error,D,Loss function quantifies prediction error.
AI & ML,[AIML-Q178] SVM stands for,Simple Vector Model,Support Vector Machine,Both A and B,Supervised Vector Method,B,Standard definition.
AI & ML,[AIML-Q179] What is dimensionality reduction?,Reducing feature count,Adding features,Insufficient information,Scaling data,A,Reduces number of features while retaining info.
AI & ML,[AIML-Q180] PCA stands for,Principal Classification Approach,Principal Component Analysis,Primary Clustering Algorithm,Neither A nor B,B,Standard definition.
AI & ML,[AIML-Q181] What is a hyperparameter?,Weight,Bias,Learned param,Param set before training,D,Hyperparameters are configured before training.
AI & ML,[AIML-Q182] Cross-validation purpose,Cannot be determined,Reduce features,Speed up training,Evaluate model generalization,D,CV tests model on unseen data splits.
AI & ML,[AIML-Q183] Epoch in deep learning means,None of the above,One weight update,One batch,One full pass over dataset,D,An epoch is one complete training cycle.
AI & ML,[AIML-Q184] What is a confusion matrix?,The above is incorrect,Performance table TP/FP/TN/FN,Accuracy metric,Loss function,B,Confusion matrix shows classification results.
AI & ML,[AIML-Q185] Sigmoid function output range,−∞ to ∞,0 to ∞,−1 to 1,0 to 1,D,Sigmoid squashes values between 0 and 1.
AI & ML,[AIML-Q186] What is tokenization in NLP?,None of the above,Splitting text into tokens,Encoding passwords,Encrypting text,B,Tokenization breaks text into words/subwords.
AI & ML,[AIML-Q187] GAN stands for,Generic Algorithm Network,Generative Adversarial Network,General Adversarial Network,Both B and C,B,Standard definition.
AI & ML,[AIML-Q188] Dropout in neural networks,Speeds up training,Reduces layers,Both B and C,Prevents overfitting,D,Dropout randomly disables neurons during training.
AI & ML,[AIML-Q189] What is a feature in ML?,Input variable,Model weight,Output label,Neither A nor B,A,Features are input variables used by a model.
AI & ML,[AIML-Q190] Regression predicts,Continuous values,Cannot be determined,Discrete labels,Clusters,A,Regression outputs continuous numerical values.
AI & ML,[AIML-Q191] What is bias in ML?,Model weight,Activation value,Neither A nor B,Error from assumptions,D,Bias is systematic error from wrong assumptions.
AI & ML,[AIML-Q192] LSTM stands for,Linear Sequential Training Model,All of the above,Large Scale Training Method,Long Short-Term Memory,D,Standard definition.
AI & ML,[AIML-Q193] What is an embedding?,Both A and B,Image filter,Sparse matrix,Dense vector representation,D,Embeddings map items to dense vector space.
AI & ML,[AIML-Q194] Softmax function is used for,Insufficient information,Multi-class classification,Binary classification,Regression,B,Softmax outputs probability distribution over classes.
AI & ML,[AIML-Q195] What is data augmentation?,Both A and B,Normalizing data,Generating synthetic training data,Removing data,C,Augmentation artificially increases training data.
AI & ML,[AIML-Q196] Bagging reduces,Variance,Neither,Both,Bias,A,Bagging reduces variance by averaging models.
AI & ML,[AIML-Q197] What is a kernel in SVM?,Neuron,Layer,All of the above,Function to map data,D,Kernels transform data to higher dimensions.
AI & ML,[AIML-Q198] ROC curve plots,Option not applicable,Precision vs Recall,Loss vs Epoch,TPR vs FPR,D,ROC curve shows classifier performance at thresholds.
AI & ML,[AIML-Q199] What is reinforcement learning?,Clustering,Agent learns via rewards,Supervised learning,Cannot be determined,B,RL agents learn by maximizing cumulative reward.
AI & ML,[AIML-Q200] Batch size in training means,Number of epochs,Total samples,Insufficient information,Samples per gradient update,D,Batch size controls how many samples per step.
AI & ML,[AIML-Q201] What does AI stand for?,Applied Intelligence,Automated Intelligence,Artificial Integration,Artificial Intelligence,D,Standard definition.
AI & ML,[AIML-Q202] Which algorithm is used for classification?,K-Means,Decision Tree,PCA,Apriori,B,Decision Trees classify data.
AI & ML,[AIML-Q203] Supervised learning requires,Unlabeled data,Random data,No data,Labeled data,D,Supervised learning uses labeled training data.
AI & ML,[AIML-Q204] What is overfitting?,Model generalizes well,Model fits training too well,Model underfits,The above is incorrect,B,Overfitting memorizes training data.
AI & ML,[AIML-Q205] Activation function in neural networks,ReLU,SQL,HTTP,GPIO,A,ReLU is a common activation function.
AI & ML,[AIML-Q206] What is gradient descent?,Optimization algorithm,Feature extraction,Classification technique,Clustering method,A,Gradient descent minimizes loss functions.
AI & ML,[AIML-Q207] CNN stands for,Computational Neural Network,Convolutional Neural Network,Central Neural Network,Conditional Neural Network,B,Standard definition.
AI & ML,[AIML-Q208] K-Means is used for,Clustering,Classification,Dimensionality reduction,Regression,A,K-Means groups data into k clusters.
AI & ML,[AIML-Q209] What is NLP?,Natural Language Processing,Numerical Learning Process,Neural Language Programming,None of the above,A,NLP processes human language.
AI & ML,[AIML-Q210] Precision = TP / (TP + ?),The above is incorrect,FP,FN,TN,B,Precision = TP/(TP+FP).
AI & ML,[AIML-Q211] Recall = TP / (TP + ?),FP,FN,TN,Both A and C,B,Recall = TP/(TP+FN).
AI & ML,[AIML-Q212] What is a perceptron?,Decision tree,Clustering algo,The above is incorrect,Simplest neural network,D,Perceptron is a single-layer neural network.
AI & ML,[AIML-Q213] Random Forest is an ensemble of,Neural Networks,Regressions,Decision Trees,SVMs,C,Random Forest combines many decision trees.
AI & ML,[AIML-Q214] What is transfer learning?,Training from scratch,Reusing pretrained model,Supervised learning,Both A and B,B,Transfer learning applies pretrained knowledge.
AI & ML,[AIML-Q215] Backpropagation is used to,Both A and B,Initialize weights,Load data,Update weights,D,Backprop computes gradients to update weights.
AI & ML,[AIML-Q216] Which library is used for deep learning in Python?,NumPy,Pandas,Matplotlib,TensorFlow,D,TensorFlow is a deep learning framework.
AI & ML,[AIML-Q217] What is a loss function?,Measures model error,Cannot be determined,Activation function,Optimizer,A,Loss function quantifies prediction error.
AI & ML,[AIML-Q218] SVM stands for,Supervised Vector Method,Option not applicable,Support Vector Machine,Simple Vector Model,C,Standard definition.
AI & ML,[AIML-Q219] What is dimensionality reduction?,Adding features,Reducing feature count,None of the above,Scaling data,B,Reduces number of features while retaining info.
AI & ML,[AIML-Q220] PCA stands for,Primary Clustering Algorithm,Principal Component Analysis,Cannot be determined,Principal Classification Approach,B,Standard definition.
AI & ML,[AIML-Q221] What is a hyperparameter?,Weight,Bias,Param set before training,Learned param,C,Hyperparameters are configured before training.
AI & ML,[AIML-Q222] Cross-validation purpose,All of the above,Evaluate model generalization,Reduce features,Speed up training,B,CV tests model on unseen data splits.
AI & ML,[AIML-Q223] Epoch in deep learning means,One batch,All of the above,One full pass over dataset,One weight update,C,An epoch is one complete training cycle.
AI & ML,[AIML-Q224] What is a confusion matrix?,Option not applicable,Loss function,Performance table TP/FP/TN/FN,Accuracy metric,C,Confusion matrix shows classification results.
AI & ML,[AIML-Q225] Sigmoid function output range,0 to 1,−∞ to ∞,0 to ∞,−1 to 1,A,Sigmoid squashes values between 0 and 1.
AI & ML,[AIML-Q226] What is tokenization in NLP?,Encoding passwords,Splitting text into tokens,Encrypting text,None of the above,B,Tokenization breaks text into words/subwords.
AI & ML,[AIML-Q227] GAN stands for,Generative Adversarial Network,Generic Algorithm Network,General Adversarial Network,Option not applicable,A,Standard definition.
AI & ML,[AIML-Q228] Dropout in neural networks,Cannot be determined,Speeds up training,Reduces layers,Prevents overfitting,D,Dropout randomly disables neurons during training.
AI & ML,[AIML-Q229] What is a feature in ML?,Input variable,Option not applicable,Model weight,Output label,A,Features are input variables used by a model.
AI & ML,[AIML-Q230] Regression predicts,Clusters,Neither A nor B,Discrete labels,Continuous values,D,Regression outputs continuous numerical values.
AI & ML,[AIML-Q231] What is bias in ML?,None of the above,Activation value,Error from assumptions,Model weight,C,Bias is systematic error from wrong assumptions.
AI & ML,[AIML-Q232] LSTM stands for,None of the above,Large Scale Training Method,Linear Sequential Training Model,Long Short-Term Memory,D,Standard definition.
AI & ML,[AIML-Q233] What is an embedding?,None of the above,Image filter,Dense vector representation,Sparse matrix,C,Embeddings map items to dense vector space.
AI & ML,[AIML-Q234] Softmax function is used for,Multi-class classification,Binary classification,The above is incorrect,Regression,A,Softmax outputs probability distribution over classes.
AI & ML,[AIML-Q235] What is data augmentation?,Normalizing data,Generating synthetic training data,Neither A nor B,Removing data,B,Augmentation artificially increases training data.
AI & ML,[AIML-Q236] Bagging reduces,Bias,Variance,Both,Neither,B,Bagging reduces variance by averaging models.
AI & ML,[AIML-Q237] What is a kernel in SVM?,All of the above,Function to map data,Layer,Neuron,B,Kernels transform data to higher dimensions.
AI & ML,[AIML-Q238] ROC curve plots,Both A and B,TPR vs FPR,Loss vs Epoch,Precision vs Recall,B,ROC curve shows classifier performance at thresholds.
AI & ML,[AIML-Q239] What is reinforcement learning?,Both A and B,Supervised learning,Clustering,Agent learns via rewards,D,RL agents learn by maximizing cumulative reward.
AI & ML,[AIML-Q240] Batch size in training means,Both B and C,Number of epochs,Samples per gradient update,Total samples,C,Batch size controls how many samples per step.
AI & ML,[AIML-Q241] What does AI stand for?,Applied Intelligence,Artificial Intelligence,Artificial Integration,Automated Intelligence,B,Standard definition.
AI & ML,[AIML-Q242] Which algorithm is used for classification?,K-Means,Apriori,PCA,Decision Tree,D,Decision Trees classify data.
AI & ML,[AIML-Q243] Supervised learning requires,Labeled data,No data,Unlabeled data,Random data,A,Supervised learning uses labeled training data.
AI & ML,[AIML-Q244] What is overfitting?,Model generalizes well,Model underfits,Both B and C,Model fits training too well,D,Overfitting memorizes training data.
AI & ML,[AIML-Q245] Activation function in neural networks,SQL,ReLU,HTTP,GPIO,B,ReLU is a common activation function.
AI & ML,[AIML-Q246] What is gradient descent?,Classification technique,Clustering method,Optimization algorithm,Feature extraction,C,Gradient descent minimizes loss functions.
AI & ML,[AIML-Q247] CNN stands for,Convolutional Neural Network,Computational Neural Network,Conditional Neural Network,Central Neural Network,A,Standard definition.
AI & ML,[AIML-Q248] K-Means is used for,Dimensionality reduction,Regression,Classification,Clustering,D,K-Means groups data into k clusters.
AI & ML,[AIML-Q249] What is NLP?,Natural Language Processing,Numerical Learning Process,Option not applicable,Neural Language Programming,A,NLP processes human language.
AI & ML,[AIML-Q250] Precision = TP / (TP + ?),TN,FP,FN,Data not provided,B,Precision = TP/(TP+FP).
AI & ML,[AIML-Q251] Recall = TP / (TP + ?),TN,FN,The premise is wrong,FP,B,Recall = TP/(TP+FN).
AI & ML,[AIML-Q252] What is a perceptron?,Clustering algo,Both B and C,Simplest neural network,Decision tree,C,Perceptron is a single-layer neural network.
AI & ML,[AIML-Q253] Random Forest is an ensemble of,Regressions,SVMs,Decision Trees,Neural Networks,C,Random Forest combines many decision trees.
AI & ML,[AIML-Q254] What is transfer learning?,Supervised learning,Training from scratch,Reusing pretrained model,Neither A nor B,C,Transfer learning applies pretrained knowledge.
AI & ML,[AIML-Q255] Backpropagation is used to,Update weights,Load data,Initialize weights,Cannot be determined,A,Backprop computes gradients to update weights.
AI & ML,[AIML-Q256] Which library is used for deep learning in Python?,NumPy,Pandas,TensorFlow,Matplotlib,C,TensorFlow is a deep learning framework.
AI & ML,[AIML-Q257] What is a loss function?,Activation function,All of the above,Optimizer,Measures model error,D,Loss function quantifies prediction error.
AI & ML,[AIML-Q258] SVM stands for,Data not provided,Simple Vector Model,Supervised Vector Method,Support Vector Machine,D,Standard definition.
AI & ML,[AIML-Q259] What is dimensionality reduction?,Adding features,Scaling data,The above is incorrect,Reducing feature count,D,Reduces number of features while retaining info.
AI & ML,[AIML-Q260] PCA stands for,Insufficient information,Primary Clustering Algorithm,Principal Classification Approach,Principal Component Analysis,D,Standard definition.
AI & ML,[AIML-Q261] What is a hyperparameter?,Learned param,Bias,Param set before training,Weight,C,Hyperparameters are configured before training.
AI & ML,[AIML-Q262] Cross-validation purpose,Speed up training,The above is incorrect,Evaluate model generalization,Reduce features,C,CV tests model on unseen data splits.
AI & ML,[AIML-Q263] Epoch in deep learning means,One batch,Option not applicable,One full pass over dataset,One weight update,C,An epoch is one complete training cycle.
AI & ML,[AIML-Q264] What is a confusion matrix?,Performance table TP/FP/TN/FN,Accuracy metric,Cannot be determined,Loss function,A,Confusion matrix shows classification results.
AI & ML,[AIML-Q265] Sigmoid function output range,0 to ∞,0 to 1,−∞ to ∞,−1 to 1,B,Sigmoid squashes values between 0 and 1.
AI & ML,[AIML-Q266] What is tokenization in NLP?,Splitting text into tokens,Encrypting text,Data not provided,Encoding passwords,A,Tokenization breaks text into words/subwords.
AI & ML,[AIML-Q267] GAN stands for,Generic Algorithm Network,Generative Adversarial Network,General Adversarial Network,Both B and C,B,Standard definition.
AI & ML,[AIML-Q268] Dropout in neural networks,Prevents overfitting,Data not provided,Speeds up training,Reduces layers,A,Dropout randomly disables neurons during training.
AI & ML,[AIML-Q269] What is a feature in ML?,Both B and C,Input variable,Output label,Model weight,B,Features are input variables used by a model.
AI & ML,[AIML-Q270] Regression predicts,Clusters,Continuous values,None of the above,Discrete labels,B,Regression outputs continuous numerical values.
AI & ML,[AIML-Q271] What is bias in ML?,Model weight,Activation value,Error from assumptions,The above is incorrect,C,Bias is systematic error from wrong assumptions.
AI & ML,[AIML-Q272] LSTM stands for,All of the above,Long Short-Term Memory,Linear Sequential Training Model,Large Scale Training Method,B,Standard definition.
AI & ML,[AIML-Q273] What is an embedding?,Sparse matrix,The above is incorrect,Image filter,Dense vector representation,D,Embeddings map items to dense vector space.
AI & ML,[AIML-Q274] Softmax function is used for,Multi-class classification,Binary classification,Option not applicable,Regression,A,Softmax outputs probability distribution over classes.
AI & ML,[AIML-Q275] What is data augmentation?,Generating synthetic training data,Normalizing data,Removing data,Both A and B,A,Augmentation artificially increases training data.
AI & ML,[AIML-Q276] Bagging reduces,Variance,Neither,Bias,Both,A,Bagging reduces variance by averaging models.
AI & ML,[AIML-Q277] What is a kernel in SVM?,Function to map data,Layer,The above is incorrect,Neuron,A,Kernels transform data to higher dimensions.
AI & ML,[AIML-Q278] ROC curve plots,Loss vs Epoch,Cannot be determined,Precision vs Recall,TPR vs FPR,D,ROC curve shows classifier performance at thresholds.
AI & ML,[AIML-Q279] What is reinforcement learning?,Clustering,Agent learns via rewards,None of the above,Supervised learning,B,RL agents learn by maximizing cumulative reward.
AI & ML,[AIML-Q280] Batch size in training means,Number of epochs,Total samples,Samples per gradient update,Neither A nor B,C,Batch size controls how many samples per step.
AI & ML,[AIML-Q281] What does AI stand for?,Artificial Intelligence,Artificial Integration,Applied Intelligence,Automated Intelligence,A,Standard definition.
AI & ML,[AIML-Q282] Which algorithm is used for classification?,Apriori,K-Means,Decision Tree,PCA,C,Decision Trees classify data.
AI & ML,[AIML-Q283] Supervised learning requires,Unlabeled data,No data,Random data,Labeled data,D,Supervised learning uses labeled training data.
AI & ML,[AIML-Q284] What is overfitting?,Model underfits,Model generalizes well,Cannot be determined,Model fits training too well,D,Overfitting memorizes training data.
AI & ML,[AIML-Q285] Activation function in neural networks,SQL,HTTP,GPIO,ReLU,D,ReLU is a common activation function.
AI & ML,[AIML-Q286] What is gradient descent?,Clustering method,Optimization algorithm,Classification technique,Feature extraction,B,Gradient descent minimizes loss functions.
AI & ML,[AIML-Q287] CNN stands for,Central Neural Network,Convolutional Neural Network,Conditional Neural Network,Computational Neural Network,B,Standard definition.
AI & ML,[AIML-Q288] K-Means is used for,Regression,Classification,Dimensionality reduction,Clustering,D,K-Means groups data into k clusters.
AI & ML,[AIML-Q289] What is NLP?,Natural Language Processing,Cannot be determined,Numerical Learning Process,Neural Language Programming,A,NLP processes human language.
AI & ML,[AIML-Q290] Precision = TP / (TP + ?),TN,FN,FP,The above is incorrect,C,Precision = TP/(TP+FP).
AI & ML,[AIML-Q291] Recall = TP / (TP + ?),FN,FP,TN,Both A and C,A,Recall = TP/(TP+FN).
AI & ML,[AIML-Q292] What is a perceptron?,Simplest neural network,Clustering algo,Cannot be determined,Decision tree,A,Perceptron is a single-layer neural network.
AI & ML,[AIML-Q293] Random Forest is an ensemble of,Regressions,SVMs,Decision Trees,Neural Networks,C,Random Forest combines many decision trees.
AI & ML,[AIML-Q294] What is transfer learning?,Reusing pretrained model,None of the above,Supervised learning,Training from scratch,A,Transfer learning applies pretrained knowledge.
AI & ML,[AIML-Q295] Backpropagation is used to,Both A and B,Load data,Update weights,Initialize weights,C,Backprop computes gradients to update weights.
AI & ML,[AIML-Q296] Which library is used for deep learning in Python?,Matplotlib,Pandas,NumPy,TensorFlow,D,TensorFlow is a deep learning framework.
AI & ML,[AIML-Q297] What is a loss function?,The above is incorrect,Measures model error,Optimizer,Activation function,B,Loss function quantifies prediction error.
AI & ML,[AIML-Q298] SVM stands for,All of the above,Supervised Vector Method,Support Vector Machine,Simple Vector Model,C,Standard definition.
AI & ML,[AIML-Q299] What is dimensionality reduction?,Scaling data,Reducing feature count,Adding features,The above is incorrect,B,Reduces number of features while retaining info.
AI & ML,[AIML-Q300] PCA stands for,Principal Component Analysis,Neither A nor B,Principal Classification Approach,Primary Clustering Algorithm,A,Standard definition.
AI & ML,[AIML-Q301] What is a hyperparameter?,Weight,Learned param,Bias,Param set before training,D,Hyperparameters are configured before training.
AI & ML,[AIML-Q302] Cross-validation purpose,Evaluate model generalization,Option not applicable,Speed up training,Reduce features,A,CV tests model on unseen data splits.
AI & ML,[AIML-Q303] Epoch in deep learning means,Both B and C,One full pass over dataset,One batch,One weight update,B,An epoch is one complete training cycle.
AI & ML,[AIML-Q304] What is a confusion matrix?,Accuracy metric,Performance table TP/FP/TN/FN,Both B and C,Loss function,B,Confusion matrix shows classification results.
AI & ML,[AIML-Q305] Sigmoid function output range,0 to 1,0 to ∞,−∞ to ∞,−1 to 1,A,Sigmoid squashes values between 0 and 1.
AI & ML,[AIML-Q306] What is tokenization in NLP?,Insufficient information,Encoding passwords,Splitting text into tokens,Encrypting text,C,Tokenization breaks text into words/subwords.
AI & ML,[AIML-Q307] GAN stands for,General Adversarial Network,Generic Algorithm Network,Generative Adversarial Network,Both A and B,C,Standard definition.
AI & ML,[AIML-Q308] Dropout in neural networks,Speeds up training,Prevents overfitting,Reduces layers,Insufficient information,B,Dropout randomly disables neurons during training.
AI & ML,[AIML-Q309] What is a feature in ML?,Model weight,The above is incorrect,Input variable,Output label,C,Features are input variables used by a model.
AI & ML,[AIML-Q310] Regression predicts,Continuous values,Data not provided,Clusters,Discrete labels,A,Regression outputs continuous numerical values.
AI & ML,[AIML-Q311] What is bias in ML?,Activation value,The above is incorrect,Error from assumptions,Model weight,C,Bias is systematic error from wrong assumptions.
AI & ML,[AIML-Q312] LSTM stands for,Large Scale Training Method,Linear Sequential Training Model,Long Short-Term Memory,Cannot be determined,C,Standard definition.
AI & ML,[AIML-Q313] What is an embedding?,Insufficient information,Image filter,Dense vector representation,Sparse matrix,C,Embeddings map items to dense vector space.
AI & ML,[AIML-Q314] Softmax function is used for,Regression,Multi-class classification,Insufficient information,Binary classification,B,Softmax outputs probability distribution over classes.
AI & ML,[AIML-Q315] What is data augmentation?,Removing data,Normalizing data,Cannot be determined,Generating synthetic training data,D,Augmentation artificially increases training data.
AI & ML,[AIML-Q316] Bagging reduces,Variance,Bias,Neither,Both,A,Bagging reduces variance by averaging models.
AI & ML,[AIML-Q317] What is a kernel in SVM?,Layer,Both A and B,Neuron,Function to map data,D,Kernels transform data to higher dimensions.
AI & ML,[AIML-Q318] ROC curve plots,Both B and C,TPR vs FPR,Precision vs Recall,Loss vs Epoch,B,ROC curve shows classifier performance at thresholds.
AI & ML,[AIML-Q319] What is reinforcement learning?,Clustering,Supervised learning,Agent learns via rewards,None of the above,C,RL agents learn by maximizing cumulative reward.
AI & ML,[AIML-Q320] Batch size in training means,Samples per gradient update,Number of epochs,The above is incorrect,Total samples,A,Batch size controls how many samples per step.
AI & ML,[AIML-Q321] What does AI stand for?,Artificial Intelligence,Artificial Integration,Automated Intelligence,Applied Intelligence,A,Standard definition.
AI & ML,[AIML-Q322] Which algorithm is used for classification?,Apriori,PCA,Decision Tree,K-Means,C,Decision Trees classify data.
AI & ML,[AIML-Q323] Supervised learning requires,No data,Unlabeled data,Random data,Labeled data,D,Supervised learning uses labeled training data.
AI & ML,[AIML-Q324] What is overfitting?,Model underfits,None of the above,Model fits training too well,Model generalizes well,C,Overfitting memorizes training data.
AI & ML,[AIML-Q325] Activation function in neural networks,SQL,GPIO,HTTP,ReLU,D,ReLU is a common activation function.
AI & ML,[AIML-Q326] What is gradient descent?,Classification technique,Feature extraction,Optimization algorithm,Clustering method,C,Gradient descent minimizes loss functions.
AI & ML,[AIML-Q327] CNN stands for,Central Neural Network,Convolutional Neural Network,Computational Neural Network,Conditional Neural Network,B,Standard definition.
