Topic,Question,Option A,Option B,Option C,Option D,Correct Answer,Explanation
AI & ML,[AIML-Q123] Supervised learning requires,Labeled data,Unlabeled data,No data,Random data,A,Supervised learning uses labeled training data.
AI & ML,[AIML-Q124] What is overfitting?,Model fits training too well,Model underfits,Model generalizes well,None,A,Overfitting memorizes training data.
AI & ML,[AIML-Q125] Activation function in neural networks,ReLU,SQL,HTTP,GPIO,A,ReLU is a common activation function.
AI & ML,[AIML-Q126] What is gradient descent?,Optimization algorithm,Classification technique,Clustering method,Feature extraction,A,Gradient descent minimizes loss functions.
AI & ML,[AIML-Q127] CNN stands for,Convolutional Neural Network,Central Neural Network,Conditional Neural Network,Computational Neural Network,A,Standard definition.
AI & ML,[AIML-Q128] K-Means is used for,Clustering,Classification,Regression,Dimensionality reduction,A,K-Means groups data into k clusters.
AI & ML,[AIML-Q129] What is NLP?,Natural Language Processing,Neural Language Programming,Numerical Learning Process,None,A,NLP processes human language.
AI & ML,[AIML-Q130] Precision = TP / (TP + ?),FP,FN,TN,None,A,Precision = TP/(TP+FP).
AI & ML,[AIML-Q131] Recall = TP / (TP + ?),FN,FP,TN,None,A,Recall = TP/(TP+FN).
AI & ML,[AIML-Q132] What is a perceptron?,Simplest neural network,Decision tree,Clustering algo,None,A,Perceptron is a single-layer neural network.
AI & ML,[AIML-Q133] Random Forest is an ensemble of,Decision Trees,SVMs,Neural Networks,Regressions,A,Random Forest combines many decision trees.
AI & ML,[AIML-Q134] What is transfer learning?,Reusing pretrained model,Training from scratch,Supervised learning,None,A,Transfer learning applies pretrained knowledge.
AI & ML,[AIML-Q135] Backpropagation is used to,Update weights,Initialize weights,Load data,None,A,Backprop computes gradients to update weights.
AI & ML,[AIML-Q136] Which library is used for deep learning in Python?,TensorFlow,NumPy,Pandas,Matplotlib,A,TensorFlow is a deep learning framework.
AI & ML,[AIML-Q137] What is a loss function?,Measures model error,Activation function,Optimizer,None,A,Loss function quantifies prediction error.
AI & ML,[AIML-Q138] SVM stands for,Support Vector Machine,Simple Vector Model,Supervised Vector Method,None,A,Standard definition.
AI & ML,[AIML-Q139] What is dimensionality reduction?,Reducing feature count,Adding features,Scaling data,None,A,Reduces number of features while retaining info.
AI & ML,[AIML-Q140] PCA stands for,Principal Component Analysis,Primary Clustering Algorithm,Principal Classification Approach,None,A,Standard definition.
AI & ML,[AIML-Q141] What is a hyperparameter?,Param set before training,Learned param,Weight,Bias,A,Hyperparameters are configured before training.
AI & ML,[AIML-Q142] Cross-validation purpose,Evaluate model generalization,Speed up training,Reduce features,None,A,CV tests model on unseen data splits.
AI & ML,[AIML-Q143] Epoch in deep learning means,One full pass over dataset,One batch,One weight update,None,A,An epoch is one complete training cycle.
AI & ML,[AIML-Q144] What is a confusion matrix?,Performance table TP/FP/TN/FN,Loss function,Accuracy metric,None,A,Confusion matrix shows classification results.
AI & ML,[AIML-Q145] Sigmoid function output range,0 to 1,−1 to 1,0 to ∞,−∞ to ∞,A,Sigmoid squashes values between 0 and 1.
AI & ML,[AIML-Q146] What is tokenization in NLP?,Splitting text into tokens,Encoding passwords,Encrypting text,None,A,Tokenization breaks text into words/subwords.
AI & ML,[AIML-Q147] GAN stands for,Generative Adversarial Network,General Adversarial Network,Generic Algorithm Network,None,A,Standard definition.
AI & ML,[AIML-Q148] Dropout in neural networks,Prevents overfitting,Speeds up training,Reduces layers,None,A,Dropout randomly disables neurons during training.
AI & ML,[AIML-Q149] What is a feature in ML?,Input variable,Output label,Model weight,None,A,Features are input variables used by a model.
AI & ML,[AIML-Q150] Regression predicts,Continuous values,Discrete labels,Clusters,None,A,Regression outputs continuous numerical values.
AI & ML,[AIML-Q151] What is bias in ML?,Error from assumptions,Model weight,Activation value,None,A,Bias is systematic error from wrong assumptions.
AI & ML,[AIML-Q152] LSTM stands for,Long Short-Term Memory,Linear Sequential Training Model,None,Large Scale Training Method,A,Standard definition.
AI & ML,[AIML-Q153] What is an embedding?,Dense vector representation,Sparse matrix,Image filter,None,A,Embeddings map items to dense vector space.
AI & ML,[AIML-Q154] Softmax function is used for,Multi-class classification,Binary classification,Regression,None,A,Softmax outputs probability distribution over classes.
AI & ML,[AIML-Q155] What is data augmentation?,Generating synthetic training data,Removing data,Normalizing data,None,A,Augmentation artificially increases training data.
AI & ML,[AIML-Q156] Bagging reduces,Variance,Bias,Both,Neither,A,Bagging reduces variance by averaging models.
AI & ML,[AIML-Q157] What is a kernel in SVM?,Function to map data,Layer,Neuron,None,A,Kernels transform data to higher dimensions.
AI & ML,[AIML-Q158] ROC curve plots,TPR vs FPR,Precision vs Recall,Loss vs Epoch,None,A,ROC curve shows classifier performance at thresholds.
AI & ML,[AIML-Q159] What is reinforcement learning?,Agent learns via rewards,Supervised learning,Clustering,None,A,RL agents learn by maximizing cumulative reward.
AI & ML,[AIML-Q160] Batch size in training means,Samples per gradient update,Total samples,Number of epochs,None,A,Batch size controls how many samples per step.
AI & ML,[AIML-Q161] What does AI stand for?,Artificial Intelligence,Automated Intelligence,Artificial Integration,Applied Intelligence,A,Standard definition.
AI & ML,[AIML-Q162] Which algorithm is used for classification?,Decision Tree,K-Means,PCA,Apriori,A,Decision Trees classify data.
AI & ML,[AIML-Q163] Supervised learning requires,Labeled data,Unlabeled data,No data,Random data,A,Supervised learning uses labeled training data.
AI & ML,[AIML-Q164] What is overfitting?,Model fits training too well,Model underfits,Model generalizes well,None,A,Overfitting memorizes training data.
AI & ML,[AIML-Q165] Activation function in neural networks,ReLU,SQL,HTTP,GPIO,A,ReLU is a common activation function.
AI & ML,[AIML-Q166] What is gradient descent?,Optimization algorithm,Classification technique,Clustering method,Feature extraction,A,Gradient descent minimizes loss functions.
AI & ML,[AIML-Q167] CNN stands for,Convolutional Neural Network,Central Neural Network,Conditional Neural Network,Computational Neural Network,A,Standard definition.
AI & ML,[AIML-Q168] K-Means is used for,Clustering,Classification,Regression,Dimensionality reduction,A,K-Means groups data into k clusters.
AI & ML,[AIML-Q169] What is NLP?,Natural Language Processing,Neural Language Programming,Numerical Learning Process,None,A,NLP processes human language.
AI & ML,[AIML-Q170] Precision = TP / (TP + ?),FP,FN,TN,None,A,Precision = TP/(TP+FP).
AI & ML,[AIML-Q171] Recall = TP / (TP + ?),FN,FP,TN,None,A,Recall = TP/(TP+FN).
AI & ML,[AIML-Q172] What is a perceptron?,Simplest neural network,Decision tree,Clustering algo,None,A,Perceptron is a single-layer neural network.
AI & ML,[AIML-Q173] Random Forest is an ensemble of,Decision Trees,SVMs,Neural Networks,Regressions,A,Random Forest combines many decision trees.
AI & ML,[AIML-Q174] What is transfer learning?,Reusing pretrained model,Training from scratch,Supervised learning,None,A,Transfer learning applies pretrained knowledge.
AI & ML,[AIML-Q175] Backpropagation is used to,Update weights,Initialize weights,Load data,None,A,Backprop computes gradients to update weights.
AI & ML,[AIML-Q176] Which library is used for deep learning in Python?,TensorFlow,NumPy,Pandas,Matplotlib,A,TensorFlow is a deep learning framework.
AI & ML,[AIML-Q177] What is a loss function?,Measures model error,Activation function,Optimizer,None,A,Loss function quantifies prediction error.
AI & ML,[AIML-Q178] SVM stands for,Support Vector Machine,Simple Vector Model,Supervised Vector Method,None,A,Standard definition.
AI & ML,[AIML-Q179] What is dimensionality reduction?,Reducing feature count,Adding features,Scaling data,None,A,Reduces number of features while retaining info.
AI & ML,[AIML-Q180] PCA stands for,Principal Component Analysis,Primary Clustering Algorithm,Principal Classification Approach,None,A,Standard definition.
AI & ML,[AIML-Q181] What is a hyperparameter?,Param set before training,Learned param,Weight,Bias,A,Hyperparameters are configured before training.
AI & ML,[AIML-Q182] Cross-validation purpose,Evaluate model generalization,Speed up training,Reduce features,None,A,CV tests model on unseen data splits.
AI & ML,[AIML-Q183] Epoch in deep learning means,One full pass over dataset,One batch,One weight update,None,A,An epoch is one complete training cycle.
AI & ML,[AIML-Q184] What is a confusion matrix?,Performance table TP/FP/TN/FN,Loss function,Accuracy metric,None,A,Confusion matrix shows classification results.
AI & ML,[AIML-Q185] Sigmoid function output range,0 to 1,−1 to 1,0 to ∞,−∞ to ∞,A,Sigmoid squashes values between 0 and 1.
AI & ML,[AIML-Q186] What is tokenization in NLP?,Splitting text into tokens,Encoding passwords,Encrypting text,None,A,Tokenization breaks text into words/subwords.
AI & ML,[AIML-Q187] GAN stands for,Generative Adversarial Network,General Adversarial Network,Generic Algorithm Network,None,A,Standard definition.
AI & ML,[AIML-Q188] Dropout in neural networks,Prevents overfitting,Speeds up training,Reduces layers,None,A,Dropout randomly disables neurons during training.
AI & ML,[AIML-Q189] What is a feature in ML?,Input variable,Output label,Model weight,None,A,Features are input variables used by a model.
AI & ML,[AIML-Q190] Regression predicts,Continuous values,Discrete labels,Clusters,None,A,Regression outputs continuous numerical values.
AI & ML,[AIML-Q191] What is bias in ML?,Error from assumptions,Model weight,Activation value,None,A,Bias is systematic error from wrong assumptions.
AI & ML,[AIML-Q192] LSTM stands for,Long Short-Term Memory,Linear Sequential Training Model,None,Large Scale Training Method,A,Standard definition.
AI & ML,[AIML-Q193] What is an embedding?,Dense vector representation,Sparse matrix,Image filter,None,A,Embeddings map items to dense vector space.
AI & ML,[AIML-Q194] Softmax function is used for,Multi-class classification,Binary classification,Regression,None,A,Softmax outputs probability distribution over classes.
AI & ML,[AIML-Q195] What is data augmentation?,Generating synthetic training data,Removing data,Normalizing data,None,A,Augmentation artificially increases training data.
AI & ML,[AIML-Q196] Bagging reduces,Variance,Bias,Both,Neither,A,Bagging reduces variance by averaging models.
AI & ML,[AIML-Q197] What is a kernel in SVM?,Function to map data,Layer,Neuron,None,A,Kernels transform data to higher dimensions.
AI & ML,[AIML-Q198] ROC curve plots,TPR vs FPR,Precision vs Recall,Loss vs Epoch,None,A,ROC curve shows classifier performance at thresholds.
AI & ML,[AIML-Q199] What is reinforcement learning?,Agent learns via rewards,Supervised learning,Clustering,None,A,RL agents learn by maximizing cumulative reward.
AI & ML,[AIML-Q200] Batch size in training means,Samples per gradient update,Total samples,Number of epochs,None,A,Batch size controls how many samples per step.
AI & ML,[AIML-Q201] What does AI stand for?,Artificial Intelligence,Automated Intelligence,Artificial Integration,Applied Intelligence,A,Standard definition.
AI & ML,[AIML-Q202] Which algorithm is used for classification?,Decision Tree,K-Means,PCA,Apriori,A,Decision Trees classify data.
AI & ML,[AIML-Q203] Supervised learning requires,Labeled data,Unlabeled data,No data,Random data,A,Supervised learning uses labeled training data.
AI & ML,[AIML-Q204] What is overfitting?,Model fits training too well,Model underfits,Model generalizes well,None,A,Overfitting memorizes training data.
AI & ML,[AIML-Q205] Activation function in neural networks,ReLU,SQL,HTTP,GPIO,A,ReLU is a common activation function.
AI & ML,[AIML-Q206] What is gradient descent?,Optimization algorithm,Classification technique,Clustering method,Feature extraction,A,Gradient descent minimizes loss functions.
AI & ML,[AIML-Q207] CNN stands for,Convolutional Neural Network,Central Neural Network,Conditional Neural Network,Computational Neural Network,A,Standard definition.
AI & ML,[AIML-Q208] K-Means is used for,Clustering,Classification,Regression,Dimensionality reduction,A,K-Means groups data into k clusters.
AI & ML,[AIML-Q209] What is NLP?,Natural Language Processing,Neural Language Programming,Numerical Learning Process,None,A,NLP processes human language.
AI & ML,[AIML-Q210] Precision = TP / (TP + ?),FP,FN,TN,None,A,Precision = TP/(TP+FP).
AI & ML,[AIML-Q211] Recall = TP / (TP + ?),FN,FP,TN,None,A,Recall = TP/(TP+FN).
AI & ML,[AIML-Q212] What is a perceptron?,Simplest neural network,Decision tree,Clustering algo,None,A,Perceptron is a single-layer neural network.
AI & ML,[AIML-Q213] Random Forest is an ensemble of,Decision Trees,SVMs,Neural Networks,Regressions,A,Random Forest combines many decision trees.
AI & ML,[AIML-Q214] What is transfer learning?,Reusing pretrained model,Training from scratch,Supervised learning,None,A,Transfer learning applies pretrained knowledge.
AI & ML,[AIML-Q215] Backpropagation is used to,Update weights,Initialize weights,Load data,None,A,Backprop computes gradients to update weights.
AI & ML,[AIML-Q216] Which library is used for deep learning in Python?,TensorFlow,NumPy,Pandas,Matplotlib,A,TensorFlow is a deep learning framework.
AI & ML,[AIML-Q217] What is a loss function?,Measures model error,Activation function,Optimizer,None,A,Loss function quantifies prediction error.
AI & ML,[AIML-Q218] SVM stands for,Support Vector Machine,Simple Vector Model,Supervised Vector Method,None,A,Standard definition.
AI & ML,[AIML-Q219] What is dimensionality reduction?,Reducing feature count,Adding features,Scaling data,None,A,Reduces number of features while retaining info.
AI & ML,[AIML-Q220] PCA stands for,Principal Component Analysis,Primary Clustering Algorithm,Principal Classification Approach,None,A,Standard definition.
AI & ML,[AIML-Q221] What is a hyperparameter?,Param set before training,Learned param,Weight,Bias,A,Hyperparameters are configured before training.
AI & ML,[AIML-Q222] Cross-validation purpose,Evaluate model generalization,Speed up training,Reduce features,None,A,CV tests model on unseen data splits.
AI & ML,[AIML-Q223] Epoch in deep learning means,One full pass over dataset,One batch,One weight update,None,A,An epoch is one complete training cycle.
AI & ML,[AIML-Q224] What is a confusion matrix?,Performance table TP/FP/TN/FN,Loss function,Accuracy metric,None,A,Confusion matrix shows classification results.
AI & ML,[AIML-Q225] Sigmoid function output range,0 to 1,−1 to 1,0 to ∞,−∞ to ∞,A,Sigmoid squashes values between 0 and 1.
AI & ML,[AIML-Q226] What is tokenization in NLP?,Splitting text into tokens,Encoding passwords,Encrypting text,None,A,Tokenization breaks text into words/subwords.
AI & ML,[AIML-Q227] GAN stands for,Generative Adversarial Network,General Adversarial Network,Generic Algorithm Network,None,A,Standard definition.
AI & ML,[AIML-Q228] Dropout in neural networks,Prevents overfitting,Speeds up training,Reduces layers,None,A,Dropout randomly disables neurons during training.
AI & ML,[AIML-Q229] What is a feature in ML?,Input variable,Output label,Model weight,None,A,Features are input variables used by a model.
AI & ML,[AIML-Q230] Regression predicts,Continuous values,Discrete labels,Clusters,None,A,Regression outputs continuous numerical values.
AI & ML,[AIML-Q231] What is bias in ML?,Error from assumptions,Model weight,Activation value,None,A,Bias is systematic error from wrong assumptions.
AI & ML,[AIML-Q232] LSTM stands for,Long Short-Term Memory,Linear Sequential Training Model,None,Large Scale Training Method,A,Standard definition.
AI & ML,[AIML-Q233] What is an embedding?,Dense vector representation,Sparse matrix,Image filter,None,A,Embeddings map items to dense vector space.
AI & ML,[AIML-Q234] Softmax function is used for,Multi-class classification,Binary classification,Regression,None,A,Softmax outputs probability distribution over classes.
AI & ML,[AIML-Q235] What is data augmentation?,Generating synthetic training data,Removing data,Normalizing data,None,A,Augmentation artificially increases training data.
AI & ML,[AIML-Q236] Bagging reduces,Variance,Bias,Both,Neither,A,Bagging reduces variance by averaging models.
AI & ML,[AIML-Q237] What is a kernel in SVM?,Function to map data,Layer,Neuron,None,A,Kernels transform data to higher dimensions.
AI & ML,[AIML-Q238] ROC curve plots,TPR vs FPR,Precision vs Recall,Loss vs Epoch,None,A,ROC curve shows classifier performance at thresholds.
AI & ML,[AIML-Q239] What is reinforcement learning?,Agent learns via rewards,Supervised learning,Clustering,None,A,RL agents learn by maximizing cumulative reward.
AI & ML,[AIML-Q240] Batch size in training means,Samples per gradient update,Total samples,Number of epochs,None,A,Batch size controls how many samples per step.
AI & ML,[AIML-Q241] What does AI stand for?,Artificial Intelligence,Automated Intelligence,Artificial Integration,Applied Intelligence,A,Standard definition.
AI & ML,[AIML-Q242] Which algorithm is used for classification?,Decision Tree,K-Means,PCA,Apriori,A,Decision Trees classify data.
AI & ML,[AIML-Q243] Supervised learning requires,Labeled data,Unlabeled data,No data,Random data,A,Supervised learning uses labeled training data.
AI & ML,[AIML-Q244] What is overfitting?,Model fits training too well,Model underfits,Model generalizes well,None,A,Overfitting memorizes training data.
AI & ML,[AIML-Q245] Activation function in neural networks,ReLU,SQL,HTTP,GPIO,A,ReLU is a common activation function.
AI & ML,[AIML-Q246] What is gradient descent?,Optimization algorithm,Classification technique,Clustering method,Feature extraction,A,Gradient descent minimizes loss functions.
AI & ML,[AIML-Q247] CNN stands for,Convolutional Neural Network,Central Neural Network,Conditional Neural Network,Computational Neural Network,A,Standard definition.
AI & ML,[AIML-Q248] K-Means is used for,Clustering,Classification,Regression,Dimensionality reduction,A,K-Means groups data into k clusters.
AI & ML,[AIML-Q249] What is NLP?,Natural Language Processing,Neural Language Programming,Numerical Learning Process,None,A,NLP processes human language.
AI & ML,[AIML-Q250] Precision = TP / (TP + ?),FP,FN,TN,None,A,Precision = TP/(TP+FP).
AI & ML,[AIML-Q251] Recall = TP / (TP + ?),FN,FP,TN,None,A,Recall = TP/(TP+FN).
AI & ML,[AIML-Q252] What is a perceptron?,Simplest neural network,Decision tree,Clustering algo,None,A,Perceptron is a single-layer neural network.
AI & ML,[AIML-Q253] Random Forest is an ensemble of,Decision Trees,SVMs,Neural Networks,Regressions,A,Random Forest combines many decision trees.
AI & ML,[AIML-Q254] What is transfer learning?,Reusing pretrained model,Training from scratch,Supervised learning,None,A,Transfer learning applies pretrained knowledge.
AI & ML,[AIML-Q255] Backpropagation is used to,Update weights,Initialize weights,Load data,None,A,Backprop computes gradients to update weights.
AI & ML,[AIML-Q256] Which library is used for deep learning in Python?,TensorFlow,NumPy,Pandas,Matplotlib,A,TensorFlow is a deep learning framework.
AI & ML,[AIML-Q257] What is a loss function?,Measures model error,Activation function,Optimizer,None,A,Loss function quantifies prediction error.
AI & ML,[AIML-Q258] SVM stands for,Support Vector Machine,Simple Vector Model,Supervised Vector Method,None,A,Standard definition.
AI & ML,[AIML-Q259] What is dimensionality reduction?,Reducing feature count,Adding features,Scaling data,None,A,Reduces number of features while retaining info.
AI & ML,[AIML-Q260] PCA stands for,Principal Component Analysis,Primary Clustering Algorithm,Principal Classification Approach,None,A,Standard definition.
AI & ML,[AIML-Q261] What is a hyperparameter?,Param set before training,Learned param,Weight,Bias,A,Hyperparameters are configured before training.
AI & ML,[AIML-Q262] Cross-validation purpose,Evaluate model generalization,Speed up training,Reduce features,None,A,CV tests model on unseen data splits.
AI & ML,[AIML-Q263] Epoch in deep learning means,One full pass over dataset,One batch,One weight update,None,A,An epoch is one complete training cycle.
AI & ML,[AIML-Q264] What is a confusion matrix?,Performance table TP/FP/TN/FN,Loss function,Accuracy metric,None,A,Confusion matrix shows classification results.
AI & ML,[AIML-Q265] Sigmoid function output range,0 to 1,−1 to 1,0 to ∞,−∞ to ∞,A,Sigmoid squashes values between 0 and 1.
AI & ML,[AIML-Q266] What is tokenization in NLP?,Splitting text into tokens,Encoding passwords,Encrypting text,None,A,Tokenization breaks text into words/subwords.
AI & ML,[AIML-Q267] GAN stands for,Generative Adversarial Network,General Adversarial Network,Generic Algorithm Network,None,A,Standard definition.
AI & ML,[AIML-Q268] Dropout in neural networks,Prevents overfitting,Speeds up training,Reduces layers,None,A,Dropout randomly disables neurons during training.
AI & ML,[AIML-Q269] What is a feature in ML?,Input variable,Output label,Model weight,None,A,Features are input variables used by a model.
AI & ML,[AIML-Q270] Regression predicts,Continuous values,Discrete labels,Clusters,None,A,Regression outputs continuous numerical values.
AI & ML,[AIML-Q271] What is bias in ML?,Error from assumptions,Model weight,Activation value,None,A,Bias is systematic error from wrong assumptions.
AI & ML,[AIML-Q272] LSTM stands for,Long Short-Term Memory,Linear Sequential Training Model,None,Large Scale Training Method,A,Standard definition.
AI & ML,[AIML-Q273] What is an embedding?,Dense vector representation,Sparse matrix,Image filter,None,A,Embeddings map items to dense vector space.
AI & ML,[AIML-Q274] Softmax function is used for,Multi-class classification,Binary classification,Regression,None,A,Softmax outputs probability distribution over classes.
AI & ML,[AIML-Q275] What is data augmentation?,Generating synthetic training data,Removing data,Normalizing data,None,A,Augmentation artificially increases training data.
AI & ML,[AIML-Q276] Bagging reduces,Variance,Bias,Both,Neither,A,Bagging reduces variance by averaging models.
AI & ML,[AIML-Q277] What is a kernel in SVM?,Function to map data,Layer,Neuron,None,A,Kernels transform data to higher dimensions.
AI & ML,[AIML-Q278] ROC curve plots,TPR vs FPR,Precision vs Recall,Loss vs Epoch,None,A,ROC curve shows classifier performance at thresholds.
AI & ML,[AIML-Q279] What is reinforcement learning?,Agent learns via rewards,Supervised learning,Clustering,None,A,RL agents learn by maximizing cumulative reward.
AI & ML,[AIML-Q280] Batch size in training means,Samples per gradient update,Total samples,Number of epochs,None,A,Batch size controls how many samples per step.
AI & ML,[AIML-Q281] What does AI stand for?,Artificial Intelligence,Automated Intelligence,Artificial Integration,Applied Intelligence,A,Standard definition.
AI & ML,[AIML-Q282] Which algorithm is used for classification?,Decision Tree,K-Means,PCA,Apriori,A,Decision Trees classify data.
AI & ML,[AIML-Q283] Supervised learning requires,Labeled data,Unlabeled data,No data,Random data,A,Supervised learning uses labeled training data.
AI & ML,[AIML-Q284] What is overfitting?,Model fits training too well,Model underfits,Model generalizes well,None,A,Overfitting memorizes training data.
AI & ML,[AIML-Q285] Activation function in neural networks,ReLU,SQL,HTTP,GPIO,A,ReLU is a common activation function.
AI & ML,[AIML-Q286] What is gradient descent?,Optimization algorithm,Classification technique,Clustering method,Feature extraction,A,Gradient descent minimizes loss functions.
AI & ML,[AIML-Q287] CNN stands for,Convolutional Neural Network,Central Neural Network,Conditional Neural Network,Computational Neural Network,A,Standard definition.
AI & ML,[AIML-Q288] K-Means is used for,Clustering,Classification,Regression,Dimensionality reduction,A,K-Means groups data into k clusters.
AI & ML,[AIML-Q289] What is NLP?,Natural Language Processing,Neural Language Programming,Numerical Learning Process,None,A,NLP processes human language.
AI & ML,[AIML-Q290] Precision = TP / (TP + ?),FP,FN,TN,None,A,Precision = TP/(TP+FP).
AI & ML,[AIML-Q291] Recall = TP / (TP + ?),FN,FP,TN,None,A,Recall = TP/(TP+FN).
AI & ML,[AIML-Q292] What is a perceptron?,Simplest neural network,Decision tree,Clustering algo,None,A,Perceptron is a single-layer neural network.
AI & ML,[AIML-Q293] Random Forest is an ensemble of,Decision Trees,SVMs,Neural Networks,Regressions,A,Random Forest combines many decision trees.
AI & ML,[AIML-Q294] What is transfer learning?,Reusing pretrained model,Training from scratch,Supervised learning,None,A,Transfer learning applies pretrained knowledge.
AI & ML,[AIML-Q295] Backpropagation is used to,Update weights,Initialize weights,Load data,None,A,Backprop computes gradients to update weights.
AI & ML,[AIML-Q296] Which library is used for deep learning in Python?,TensorFlow,NumPy,Pandas,Matplotlib,A,TensorFlow is a deep learning framework.
AI & ML,[AIML-Q297] What is a loss function?,Measures model error,Activation function,Optimizer,None,A,Loss function quantifies prediction error.
AI & ML,[AIML-Q298] SVM stands for,Support Vector Machine,Simple Vector Model,Supervised Vector Method,None,A,Standard definition.
AI & ML,[AIML-Q299] What is dimensionality reduction?,Reducing feature count,Adding features,Scaling data,None,A,Reduces number of features while retaining info.
AI & ML,[AIML-Q300] PCA stands for,Principal Component Analysis,Primary Clustering Algorithm,Principal Classification Approach,None,A,Standard definition.
AI & ML,[AIML-Q301] What is a hyperparameter?,Param set before training,Learned param,Weight,Bias,A,Hyperparameters are configured before training.
AI & ML,[AIML-Q302] Cross-validation purpose,Evaluate model generalization,Speed up training,Reduce features,None,A,CV tests model on unseen data splits.
AI & ML,[AIML-Q303] Epoch in deep learning means,One full pass over dataset,One batch,One weight update,None,A,An epoch is one complete training cycle.
AI & ML,[AIML-Q304] What is a confusion matrix?,Performance table TP/FP/TN/FN,Loss function,Accuracy metric,None,A,Confusion matrix shows classification results.
AI & ML,[AIML-Q305] Sigmoid function output range,0 to 1,−1 to 1,0 to ∞,−∞ to ∞,A,Sigmoid squashes values between 0 and 1.
AI & ML,[AIML-Q306] What is tokenization in NLP?,Splitting text into tokens,Encoding passwords,Encrypting text,None,A,Tokenization breaks text into words/subwords.
AI & ML,[AIML-Q307] GAN stands for,Generative Adversarial Network,General Adversarial Network,Generic Algorithm Network,None,A,Standard definition.
AI & ML,[AIML-Q308] Dropout in neural networks,Prevents overfitting,Speeds up training,Reduces layers,None,A,Dropout randomly disables neurons during training.
AI & ML,[AIML-Q309] What is a feature in ML?,Input variable,Output label,Model weight,None,A,Features are input variables used by a model.
AI & ML,[AIML-Q310] Regression predicts,Continuous values,Discrete labels,Clusters,None,A,Regression outputs continuous numerical values.
AI & ML,[AIML-Q311] What is bias in ML?,Error from assumptions,Model weight,Activation value,None,A,Bias is systematic error from wrong assumptions.
AI & ML,[AIML-Q312] LSTM stands for,Long Short-Term Memory,Linear Sequential Training Model,None,Large Scale Training Method,A,Standard definition.
AI & ML,[AIML-Q313] What is an embedding?,Dense vector representation,Sparse matrix,Image filter,None,A,Embeddings map items to dense vector space.
AI & ML,[AIML-Q314] Softmax function is used for,Multi-class classification,Binary classification,Regression,None,A,Softmax outputs probability distribution over classes.
AI & ML,[AIML-Q315] What is data augmentation?,Generating synthetic training data,Removing data,Normalizing data,None,A,Augmentation artificially increases training data.
AI & ML,[AIML-Q316] Bagging reduces,Variance,Bias,Both,Neither,A,Bagging reduces variance by averaging models.
AI & ML,[AIML-Q317] What is a kernel in SVM?,Function to map data,Layer,Neuron,None,A,Kernels transform data to higher dimensions.
AI & ML,[AIML-Q318] ROC curve plots,TPR vs FPR,Precision vs Recall,Loss vs Epoch,None,A,ROC curve shows classifier performance at thresholds.
AI & ML,[AIML-Q319] What is reinforcement learning?,Agent learns via rewards,Supervised learning,Clustering,None,A,RL agents learn by maximizing cumulative reward.
AI & ML,[AIML-Q320] Batch size in training means,Samples per gradient update,Total samples,Number of epochs,None,A,Batch size controls how many samples per step.
AI & ML,[AIML-Q321] What does AI stand for?,Artificial Intelligence,Automated Intelligence,Artificial Integration,Applied Intelligence,A,Standard definition.
AI & ML,[AIML-Q322] Which algorithm is used for classification?,Decision Tree,K-Means,PCA,Apriori,A,Decision Trees classify data.
AI & ML,[AIML-Q323] Supervised learning requires,Labeled data,Unlabeled data,No data,Random data,A,Supervised learning uses labeled training data.
AI & ML,[AIML-Q324] What is overfitting?,Model fits training too well,Model underfits,Model generalizes well,None,A,Overfitting memorizes training data.
AI & ML,[AIML-Q325] Activation function in neural networks,ReLU,SQL,HTTP,GPIO,A,ReLU is a common activation function.
AI & ML,[AIML-Q326] What is gradient descent?,Optimization algorithm,Classification technique,Clustering method,Feature extraction,A,Gradient descent minimizes loss functions.
AI & ML,[AIML-Q327] CNN stands for,Convolutional Neural Network,Central Neural Network,Conditional Neural Network,Computational Neural Network,A,Standard definition.
AI & ML,[AIML-Q328] K-Means is used for,Clustering,Classification,Regression,Dimensionality reduction,A,K-Means groups data into k clusters.
AI & ML,[AIML-Q329] What is NLP?,Natural Language Processing,Neural Language Programming,Numerical Learning Process,None,A,NLP processes human language.
AI & ML,[AIML-Q330] Precision = TP / (TP + ?),FP,FN,TN,None,A,Precision = TP/(TP+FP).
AI & ML,[AIML-Q331] Recall = TP / (TP + ?),FN,FP,TN,None,A,Recall = TP/(TP+FN).
AI & ML,[AIML-Q332] What is a perceptron?,Simplest neural network,Decision tree,Clustering algo,None,A,Perceptron is a single-layer neural network.
AI & ML,[AIML-Q333] Random Forest is an ensemble of,Decision Trees,SVMs,Neural Networks,Regressions,A,Random Forest combines many decision trees.
AI & ML,[AIML-Q334] What is transfer learning?,Reusing pretrained model,Training from scratch,Supervised learning,None,A,Transfer learning applies pretrained knowledge.
AI & ML,[AIML-Q335] Backpropagation is used to,Update weights,Initialize weights,Load data,None,A,Backprop computes gradients to update weights.
AI & ML,[AIML-Q336] Which library is used for deep learning in Python?,TensorFlow,NumPy,Pandas,Matplotlib,A,TensorFlow is a deep learning framework.
AI & ML,[AIML-Q337] What is a loss function?,Measures model error,Activation function,Optimizer,None,A,Loss function quantifies prediction error.
AI & ML,[AIML-Q338] SVM stands for,Support Vector Machine,Simple Vector Model,Supervised Vector Method,None,A,Standard definition.
AI & ML,[AIML-Q339] What is dimensionality reduction?,Reducing feature count,Adding features,Scaling data,None,A,Reduces number of features while retaining info.
